"1","Ninja Express","Flight",2542428,4,2,3,"low",1233,"1","F",632016,"Bengkulu"
"10","TIKI","Flight",2355696,3,2,3,"medium",1187,"1","F",416556,"Jambi"
"100","TIKI","Ship",2082780,4,2,2,"medium",1617,"1","M",301644,"Kepulauan Riau"
"1000","TIKI","Ship",3892644,3,3,2,"medium",3542,"1","M",215460,"DKI Jakarta"
"10000","TIKI","Flight",2269512,3,3,3,"low",5502,"0","M",14364,"Bangka Belitung"
"10001","J&T","Flight",3361176,4,1,2,"medium",5164,"0","F",57456,"DKI Jakarta"
"10002","JNE","Flight",3217536,6,4,5,"medium",5602,"0","M",143640,"Jambi"
"10003","Ninja Express","Flight",2197692,4,4,3,"medium",4422,"1","M",43092,"Banten"
"10004","JNE","Flight",1795500,3,5,2,"low",4182,"1","F",28728,"Sulawesi Selatan"
"10005","SiCepat","Flight",2930256,4,1,3,"medium",4310,"0","M",43092,"Jawa Tengah"
"10006","TIKI","Flight",2858436,3,1,3,"high",5127,"0","M",43092,"Sulawesi Tenggara"
"10007","J&T","Flight",3102624,3,4,3,"low",5149,"0","F",43092,"Aceh"
"10008","JNE","Flight",2628612,4,3,3,"low",5712,"1","F",86184,"DKI Jakarta"
"10009","Ninja Express","Flight",1953504,4,3,3,"medium",5769,"1","F",57456,"DKI Jakarta"
"1001","J&T","Ship",2743524,4,3,4,"low",2544,"1","F",215460,"Sulawesi Tengah"
"10010","JNE","Flight",3863916,4,1,3,"low",4409,"1","F",43092,"Jambi"
"10011","SiCepat","Flight",1508220,5,5,4,"low",5135,"1","M",86184,"Sulawesi Utara"
"10012","TIKI","Flight",3634092,4,2,2,"low",4502,"1","F",57456,"Kalimantan Selatan"
"10013","J&T","Flight",3777732,3,1,3,"medium",4616,"0","M",57456,"Kalimantan Barat"
"10014","JNE","Flight",3820824,4,1,3,"low",4382,"0","M",143640,"Bangka Belitung"
"10015","Ninja Express","Flight",2657340,3,3,2,"low",4746,"0","M",57456,"Maluku Utara"
"10016","JNE","Flight",3519180,3,4,2,"medium",4427,"0","F",14364,"Sumatera Utara"
"10017","SiCepat","Flight",2642976,3,5,3,"medium",4969,"0","F",129276,"Sulawesi Tengah"
"10018","TIKI","Flight",3375540,5,4,3,"medium",4636,"0","F",114912,"Nusa Tenggara Timur"
"10019","J&T","Ship",3547908,3,2,3,"medium",5194,"0","M",114912,"Kalimantan Barat"
"1002","JNE","Ship",2599884,3,1,3,"medium",3266,"1","M",316008,"Kepulauan Riau"
"10020","JNE","Ship",2082780,4,4,2,"medium",5070,"0","M",129276,"Bali"
"10021","Ninja Express","Ship",2269512,3,3,2,"low",5960,"0","F",57456,"Sumatera Barat"
"10022","JNE","Ship",3849552,4,5,2,"low",4721,"1","M",28728,"Riau"
"10023","SiCepat","Ship",2671704,3,1,3,"medium",5515,"1","F",57456,"DIY Yogyakarta"
"10024","TIKI","Ship",3246264,2,3,3,"medium",5106,"1","M",114912,"Jawa Barat"
"10025","J&T","Ship",3705912,5,1,3,"medium",4466,"1","M",100548,"Bali"
"10026","JNE","Ship",2714796,3,4,3,"high",5464,"0","M",28728,"Sumatera Utara"
"10027","Ninja Express","Ship",3662820,5,3,4,"medium",4178,"1","F",57456,"Riau"
"10028","JNE","Ship",2973348,5,5,4,"low",5035,"0","F",14364,"Papua"
"10029","SiCepat","Ship",3892644,3,5,3,"low",5229,"1","M",28728,"Kalimantan Barat"
"1003","Ninja Express","Ship",3461724,3,3,5,"low",2182,"1","M",114912,"Sulawesi Utara"
"10030","TIKI","Ship",3432996,3,4,4,"medium",5455,"1","F",143640,"Bengkulu"
"10031","J&T","Ship",2671704,4,4,3,"low",4969,"1","F",114912,"Kalimantan Timur"
"10032","JNE","Ship",1996596,4,1,3,"medium",4275,"0","F",100548,"DIY Yogyakarta"
